No handlers could be found for logger "django.request"
  File "/usr/lib/python2.7/wsgiref/handlers.py", line 85, in run
    self.result = application(self.environ, self.start_response)
  File "/home/wx7/wx7Test/tsinghuatuan/app.py", line 21, in app
    result = handle_weixin_request(environ)
  File "/home/wx7/wx7Test/tsinghuatuan/queryhandler/__init__.py", line 28, in handle_weixin_request
    data = urldecode(environ['QUERY_STRING'])
  File "/home/wx7/wx7Test/tsinghuatuan/queryhandler/__init__.py", line 67, in urldecode
    k, v = map(urllib.unquote, s.split('='))
ValueError: need more than 1 value to unpack
127.0.0.1 - - [27/Nov/2014 07:53:18] "GET /weixin HTTP/1.1" 500 59
127.0.0.1 - - [27/Nov/2014 07:54:31] "POST /weixin?signature=03359694729985d3fe946f1b75e18b949a51baa5&timestamp=1417045940&nonce=81497450 HTTP/1.1" 200 303
127.0.0.1 - - [27/Nov/2014 07:54:35] "POST /weixin?signature=a86afcd8413acc07d4c5b79dd7b19c5ad25daae1&timestamp=1417045944&nonce=218780332 HTTP/1.1" 200 266
127.0.0.1 - - [27/Nov/2014 07:54:43] "GET / HTTP/1.1" 200 3888
127.0.0.1 - - [27/Nov/2014 07:54:45] "GET /favicon.ico HTTP/1.1" 404 5377
127.0.0.1 - - [27/Nov/2014 07:54:45] "GET / HTTP/1.1" 200 3888
127.0.0.1 - - [27/Nov/2014 07:54:45] "GET /static1/lib/bs/css/bootstrap.min.css HTTP/1.1" 304 0
127.0.0.1 - - [27/Nov/2014 07:54:45] "GET /static1/lib/bs/css/signin.css HTTP/1.1" 200 745
127.0.0.1 - - [27/Nov/2014 07:54:45] "GET /static1/lib/jq/jquery-1.10.2.min.js HTTP/1.1" 304 0
127.0.0.1 - - [27/Nov/2014 07:54:45] "GET /static1/lib/bs/js/bootstrap.min.js HTTP/1.1" 304 0
127.0.0.1 - - [27/Nov/2014 07:54:45] "GET /static1/lib/jq/form/jquery.form.min.js HTTP/1.1" 304 0
127.0.0.1 - - [27/Nov/2014 07:54:46] "GET /favicon.ico HTTP/1.1" 404 5377
127.0.0.1 - - [27/Nov/2014 07:54:46] "GET / HTTP/1.1" 302 0
127.0.0.1 - - [27/Nov/2014 07:54:46] "GET /list/ HTTP/1.1" 200 6148
127.0.0.1 - - [27/Nov/2014 07:54:46] "GET /static1/lib/bs/css/bootstrap.min.css HTTP/1.1" 304 0
127.0.0.1 - - [27/Nov/2014 07:54:46] "GET /static1/css/activity_list.css HTTP/1.1" 304 0
127.0.0.1 - - [27/Nov/2014 07:54:46] "GET /static1/lib/jq/jquery-1.10.2.min.js HTTP/1.1" 304 0
127.0.0.1 - - [27/Nov/2014 07:54:46] "GET /static1/lib/bs/js/bootstrap.min.js HTTP/1.1" 304 0
127.0.0.1 - - [27/Nov/2014 07:54:46] "GET /static1/js/activity_list.js HTTP/1.1" 304 0
127.0.0.1 - - [27/Nov/2014 07:54:47] "POST /login/ HTTP/1.1" 200 40
127.0.0.1 - - [27/Nov/2014 07:54:47] "GET /static1/lib/bs/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 304 0
127.0.0.1 - - [27/Nov/2014 07:54:47] "GET /list/ HTTP/1.1" 200 6148
127.0.0.1 - - [27/Nov/2014 07:54:47] "GET /favicon.ico HTTP/1.1" 404 5377
127.0.0.1 - - [27/Nov/2014 07:54:47] "GET /static1/css/activity_list.css HTTP/1.1" 304 0
127.0.0.1 - - [27/Nov/2014 07:54:47] "GET /static1/js/activity_list.js HTTP/1.1" 304 0
127.0.0.1 - - [27/Nov/2014 07:54:47] "GET /static1/lib/bs/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 304 0
127.0.0.1 - - [27/Nov/2014 07:54:49] "GET /add/ HTTP/1.1" 200 76373
127.0.0.1 - - [27/Nov/2014 07:54:50] "GET /static1/css/activity_detail.css HTTP/1.1" 304 0
127.0.0.1 - - [27/Nov/2014 07:54:50] "GET /static1/img/loading.gif HTTP/1.1" 304 0
127.0.0.1 - - [27/Nov/2014 07:54:50] "GET /static1/js/activity_detail.js HTTP/1.1" 304 0
127.0.0.1 - - [27/Nov/2014 07:54:53] "GET /add/ HTTP/1.1" 200 76373
127.0.0.1 - - [27/Nov/2014 07:54:53] "GET /static1/css/activity_detail.css HTTP/1.1" 304 0
127.0.0.1 - - [27/Nov/2014 07:54:53] "GET /static1/img/loading.gif HTTP/1.1" 304 0
127.0.0.1 - - [27/Nov/2014 07:54:53] "GET /static1/lib/jq/form/jquery.form.min.js HTTP/1.1" 304 0
127.0.0.1 - - [27/Nov/2014 07:54:53] "GET /static1/js/activity_detail.js HTTP/1.1" 304 0
